aX,aY,aZ,gX,gY,gZ
1011.00,1824.00,6308.00,2292.00,984.00,327.00
58.00,1069.00,8140.00,2471.00,900.00,582.00
671.00,1175.00,8584.00,2533.00,1002.00,641.00
1214.00,1683.00,8862.00,2520.00,813.00,324.00
1866.00,1387.00,10650.00,2538.00,237.00,323.00
1367.00,1446.00,11817.00,2438.00,-1592.00,638.00
702.00,3525.00,13142.00,2170.00,-2280.00,785.00
1362.00,4117.00,13830.00,1768.00,-2528.00,763.00
2273.00,3702.00,14494.00,1151.00,-1437.00,223.00
3817.00,1857.00,15129.00,1248.00,-443.00,-172.00
3917.00,1743.00,15009.00,1701.00,1504.00,-516.00
7089.00,698.00,15181.00,1392.00,2404.00,-588.00
6737.00,416.00,17028.00,-1772.00,6656.00,-2802.00
-5909.00,-211.00,15470.00,-1711.00,6132.00,-3452.00
-6400.00,-955.00,13893.00,-84.00,3564.00,-2993.00
-4694.00,-451.00,14851.00,1009.00,732.00,-712.00
-2609.00,1472.00,17278.00,415.00,467.00,-30.00
-1879.00,1626.00,18410.00,-709.00,-44.00,723.00
-2441.00,3747.00,18142.00,-945.00,46.00,854.00
-3638.00,5081.00,16060.00,-1122.00,363.00,683.00
-4182.00,5243.00,14040.00,-1849.00,295.00,-95.00
-3000.00,4059.00,12099.00,-2127.00,-127.00,-330.00
-2377.00,3650.00,11604.00,-2309.00,-721.00,-387.00
-1509.00,2960.00,9823.00,-2246.00,-799.00,-358.00
-1094.00,2381.00,9039.00,-2270.00,-887.00,-321.00
-845.00,1990.00,8702.00,-2675.00,-1245.00,-93.00
-842.00,2170.00,8483.00,-2876.00,-1291.00,9.00
-796.00,2181.00,7434.00,-3178.00,-1025.00,4.00
-40.00,815.00,4024.00,-3322.00,-989.00,41.00
842.00,-74.00,2968.00,-3319.00,-950.00,388.00
1602.00,-957.00,2560.00,-3005.00,-507.00,537.00
288.00,-1115.00,2000.00,-2534.00,26.00,673.00
-808.00,-257.00,1512.00,-1626.00,550.00,646.00
-1273.00,-617.00,472.00,-1296.00,592.00,419.00
-1285.00,-1210.00,-381.00,-615.00,800.00,92.00
-1587.00,-1655.00,-2521.00,-226.00,938.00,-50.00
-1260.00,-2118.00,-2750.00,221.00,1094.00,-223.00
-1033.00,-2395.00,-2672.00,1235.00,1508.00,-227.00
-1464.00,-1944.00,-2825.00,1532.00,1429.00,-13.00
-1478.00,-1713.00,-2772.00,1914.00,927.00,227.00
-1061.00,-1420.00,-2291.00,2241.00,862.00,159.00
-1386.00,-1011.00,-1495.00,2563.00,855.00,98.00
-1851.00,-375.00,-354.00,2702.00,482.00,96.00
-1502.00,385.00,1764.00,2630.00,373.00,4.00
-1321.00,479.00,1833.00,2647.00,574.00,-100.00
-1125.00,1601.00,2477.00,2562.00,348.00,91.00
-783.00,2559.00,4026.00,2326.00,-87.00,342.00
-506.00,3162.00,6010.00,1607.00,-588.00,553.00
-994.00,3451.00,8756.00,1253.00,-479.00,522.00
-1195.00,3181.00,8967.00,477.00,-539.00,517.00
-261.00,2704.00,9107.00,113.00,-890.00,724.00
133.00,2786.00,9867.00,-31.00,-1184.00,1076.00
-1515.00,3230.00,10885.00,267.00,-837.00,935.00
-2481.00,3071.00,11104.00,560.00,-521.00,721.00
-2697.00,2896.00,11558.00,836.00,-603.00,274.00
-1544.00,2022.00,12978.00,836.00,-707.00,104.00
-648.00,1571.00,13748.00,1099.00,-473.00,-113.00
-179.00,885.00,15035.00,1280.00,-183.00,-137.00
-845.00,817.00,15660.00,1488.00,82.00,-83.00
-1912.00,1017.00,16164.00,1625.00,287.00,33.00
-3195.00,1146.00,16933.00,1372.00,173.00,27.00
-2824.00,798.00,17359.00,844.00,16.00,-159.00
-1867.00,52.00,18041.00,713.00,104.00,-306.00
-1426.00,-104.00,18331.00,613.00,218.00,-426.00
-1083.00,115.00,18780.00,193.00,285.00,-379.00
-870.00,1488.00,19560.00,-230.00,282.00,-259.00
-890.00,2149.00,19162.00,-1166.00,509.00,-265.00
-765.00,2439.00,16416.00,-1545.00,654.00,-376.00
-637.00,2335.00,14866.00,-1820.00,742.00,-433.00
-519.00,2326.00,13665.00,-1964.00,870.00,-365.00
-452.00,2734.00,12111.00,-1882.00,1060.00,-356.00
-578.00,2943.00,11203.00,-1794.00,1567.00,-461.00
-926.00,2955.00,8994.00,-1824.00,1705.00,-539.00
-1044.00,2725.00,7992.00,-1787.00,1770.00,-764.00
-1195.00,2473.00,6688.00,-1776.00,1681.00,-801.00
-1213.00,2453.00,6283.00,-1876.00,1506.00,-771.00
-1239.00,2205.00,5706.00,-2370.00,1091.00,-646.00
-1477.00,1338.00,3890.00,-2659.00,899.00,-513.00
-1564.00,754.00,2870.00,-2838.00,715.00,-311.00
-1644.00,-667.00,1183.00,-2550.00,831.00,-359.00
-1647.00,-1139.00,606.00,-2101.00,1001.00,-472.00
-1554.00,-1534.00,133.00,-1322.00,1071.00,-561.00
-1136.00,-1973.00,-764.00,-1043.00,1008.00,-456.00
