aX,aY,aZ,gX,gY,gZ
-3134.00,-432.00,8179.00,-3499.00,-153.00,3277.00
-4025.00,-692.00,8502.00,-3597.00,610.00,2657.00
-4564.00,-672.00,9176.00,-3593.00,1050.00,2172.00
-3754.00,-397.00,9108.00,-3516.00,1470.00,1603.00
-2827.00,-416.00,8803.00,-3147.00,1628.00,16.00
-1646.00,-646.00,8218.00,-2810.00,1250.00,-915.00
-1790.00,-683.00,8140.00,-2435.00,885.00,-1580.00
-3395.00,-1294.00,8656.00,-2363.00,997.00,-1604.00
-3801.00,-1083.00,8925.00,-2333.00,1133.00,-1684.00
-3444.00,-562.00,9065.00,-2051.00,1415.00,-2255.00
-2414.00,70.00,8669.00,-1593.00,1536.00,-2760.00
-2423.00,290.00,8216.00,-360.00,1417.00,-3885.00
-3357.00,754.00,7387.00,14.00,1480.00,-4200.00
-3865.00,502.00,7414.00,469.00,2459.00,-4231.00
-3420.00,316.00,8062.00,633.00,3051.00,-4102.00
-2586.00,660.00,8299.00,659.00,3455.00,-3923.00
-1720.00,882.00,8160.00,713.00,3579.00,-3574.00
-662.00,776.00,7306.00,1007.00,3372.00,-3440.00
-762.00,450.00,6999.00,1761.00,2613.00,-2982.00
-608.00,498.00,6475.00,2031.00,2116.00,-2605.00
-612.00,1084.00,6601.00,2230.00,1892.00,-2149.00
-795.00,988.00,7274.00,2726.00,2493.00,-1185.00
-312.00,-580.00,8815.00,2939.00,2517.00,-937.00
-19.00,-741.00,9088.00,3054.00,1217.00,-1016.00
378.00,136.00,9133.00,3013.00,351.00,-1081.00
838.00,463.00,9070.00,2943.00,-349.00,-962.00
1859.00,46.00,8968.00,2837.00,-541.00,14.00
2147.00,-1154.00,9100.00,2810.00,157.00,802.00
1583.00,-571.00,9045.00,2697.00,1581.00,2457.00
946.00,1831.00,8283.00,2611.00,1959.00,3131.00
1440.00,2434.00,7904.00,2613.00,2145.00,3719.00
1673.00,2380.00,8156.00,2130.00,2286.00,3862.00
-1771.00,-1446.00,10410.00,1214.00,2247.00,3601.00
-4707.00,-3809.00,11058.00,-202.00,522.00,3040.00
-5786.00,-3413.00,10147.00,-280.00,-1370.00,2766.00
-4209.00,-1055.00,9284.00,-317.00,-2987.00,2680.00
-3354.00,220.00,8470.00,-892.00,-3357.00,3015.00
-3181.00,-61.00,7949.00,-1229.00,-3035.00,3212.00
-3135.00,-403.00,8753.00,-1642.00,-2712.00,3155.00
-3346.00,-575.00,10311.00,-1803.00,-2385.00,2952.00
-3331.00,-526.00,10445.00,-2021.00,-1979.00,2668.00
-2967.00,-72.00,10113.00,-2438.00,-1707.00,1960.00
-2214.00,1011.00,8740.00,-2615.00,-1866.00,1796.00
-2011.00,739.00,8176.00,-2852.00,-2367.00,1951.00
-2289.00,-77.00,8098.00,-2899.00,-2389.00,2032.00
-2672.00,-764.00,8387.00,-2926.00,-2072.00,2034.00
-3116.00,-1580.00,8577.00,-3056.00,-890.00,1461.00
-3821.00,-2441.00,8380.00,-3210.00,-408.00,817.00
-4090.00,-1812.00,8410.00,-3445.00,172.00,-655.00
-4542.00,64.00,8251.00,-3235.00,324.00,-1166.00
-4445.00,816.00,7798.00,-2222.00,211.00,-1625.00
-3994.00,1195.00,7265.00,-1840.00,44.00,-1815.00
