aX,aY,aZ,gX,gY,gZ
0.096,-0.711,0.812,-8.972,-5.371,49.438
0.080,-0.703,0.824,-9.644,-6.042,56.091
0.075,-0.690,0.842,-10.742,-6.409,61.340
0.065,-0.685,0.845,-11.658,-6.287,65.979
0.050,-0.692,0.827,-12.451,-5.432,70.190
0.040,-0.698,0.801,-14.771,-5.005,73.975
0.024,-0.703,0.767,-18.127,-4.883,77.881
-0.005,-0.726,0.741,-21.118,-5.554,82.031
-0.026,-0.751,0.740,-24.841,-7.751,88.074
-0.061,-0.740,0.778,-30.151,-10.742,98.694
-0.096,-0.670,0.849,-32.959,-13.977,112.610
-0.118,-0.555,0.936,-30.884,-16.113,126.160
-0.117,-0.447,1.031,-24.536,-16.724,135.986
-0.113,-0.335,1.105,-16.235,-14.771,141.479
-0.100,-0.257,1.134,-6.042,-9.338,140.869
-0.072,-0.227,1.110,5.981,-3.235,133.728
-0.073,-0.315,1.021,15.564,3.784,123.779
-0.105,-0.440,0.924,14.465,10.376,117.493
-0.177,-0.562,0.861,4.028,13.672,116.272
-0.234,-0.693,0.842,-6.287,13.062,120.605
-0.298,-0.712,0.874,-17.639,8.362,134.216
-0.308,-0.615,0.940,-23.376,4.333,153.625
-0.310,-0.454,1.022,-20.325,-0.061,171.387
-0.285,-0.305,1.083,-12.451,-2.380,182.556
-0.264,-0.182,1.096,-3.052,-0.793,188.477
-0.258,-0.114,1.051,5.981,3.052,187.500
-0.263,-0.146,0.977,13.306,8.423,181.274
-0.284,-0.259,0.902,13.916,12.146,175.354
-0.334,-0.394,0.854,8.972,14.343,174.622
-0.437,-0.557,0.822,3.601,13.611,179.199
-0.530,-0.661,0.826,2.197,9.460,191.345
-0.616,-0.654,0.888,8.179,0.977,208.252
-0.640,-0.579,0.952,26.978,-6.409,226.013
-0.630,-0.462,1.002,50.842,-11.719,241.882
-0.614,-0.344,1.004,66.528,-13.672,254.761
-0.591,-0.272,1.035,69.824,-11.963,263.611
-0.607,-0.230,0.998,68.359,-4.944,266.602
-0.617,-0.172,0.980,68.420,0.427,263.367
-0.665,-0.152,0.917,67.688,8.240,260.864
