aX,aY,aZ,gX,gY,gZ
-0.424,-0.124,1.377,4.211,302.734,-4.456
-0.438,-0.158,1.244,7.141,308.228,-0.488
-0.420,-0.168,1.103,5.676,316.650,3.540
-0.442,-0.178,0.937,5.310,322.693,5.005
-0.468,-0.206,0.785,4.639,326.660,5.249
-0.473,-0.214,0.652,2.502,329.529,6.897
-0.519,-0.250,0.481,-1.099,330.688,10.803
-0.497,-0.276,0.346,-10.132,331.055,15.991
-0.479,-0.293,0.197,-20.691,328.186,22.766
-0.464,-0.274,0.049,-30.701,324.951,31.494
-0.469,-0.245,-0.106,-38.086,317.261,38.208
-0.422,-0.227,-0.256,-43.335,303.589,41.992
-0.363,-0.208,-0.368,-44.556,284.790,42.969
-0.282,-0.197,-0.434,-40.833,262.817,44.556
-0.198,-0.181,-0.479,-31.067,242.126,43.335
-0.120,-0.138,-0.530,-16.296,224.060,41.565
-0.053,-0.090,-0.596,-2.686,209.351,39.673
-0.007,-0.054,-0.702,8.972,196.960,38.086
0.033,-0.012,-0.801,16.846,185.974,39.795
0.122,0.053,-0.895,18.738,174.194,44.556
0.192,0.133,-1.013,18.799,160.950,47.485
0.267,0.216,-1.119,19.958,146.179,50.293
0.368,0.331,-1.204,21.545,129.578,50.903
0.478,0.455,-1.295,27.161,112.305,49.683
0.570,0.573,-1.388,34.241,93.872,45.044
0.648,0.688,-1.487,39.734,75.195,38.574
0.716,0.804,-1.565,40.955,54.871,32.532
0.765,0.905,-1.605,39.368,31.799,23.865
0.804,0.977,-1.620,36.316,7.751,13.184
0.815,1.017,-1.602,33.142,-16.541,2.014
0.796,0.998,-1.549,28.992,-42.480,-10.376
0.790,0.948,-1.442,23.437,-69.946,-23.376
0.787,0.869,-1.305,18.433,-97.107,-35.522
0.769,0.760,-1.139,16.968,-122.070,-46.631
0.737,0.650,-0.986,19.287,-143.066,-56.458
0.681,0.554,-0.861,23.987,-161.438,-64.087
